SIGLA_INSTITUICAO;NOME_UNIDADE_ENSINO;ANO;SIGLA_UF_UNIDADE_ENSINO;NOME_MUNICIPIO_UNIDADE_ENSINO
IFRS;Campus Farroupilha;2009;RS;Farroupilha
IFRS;Campus Feliz;2008;RS;Feliz
IF Farroupilha;Campus Frederico Westphalen;1957;RS;Frederico Westphalen
IFSul;Campus Gravataí;2013;RS;Gravataí
IFRS;Campus Ibirubá;2010;RS;Ibirubá
IFSul;Campus Avançado Jaguarão;2014;RS;Jaguarão
IF Farroupilha;Campus Jaguari;2012;RS;Jaguari
IF Farroupilha;Campus Júlio de Castilhos;2008;RS;Júlio de Castilhos
IFSul;Campus Lajeado;2013;RS;Lajeado
IFSul;Campus Avançado Novo Hamburgo;2015;RS;Novo Hamburgo
IFRS;Campus Osório;2012;RS;Osório
IF Farroupilha;Campus Panambi;2010;RS;Panambi
IFSul;Campus Passo Fundo;2007;RS;Passo Fundo
IFSul;Campus Pelotas Visconde da Graça;1921;RS;Pelotas
IFSul;Campus Pelotas;1942;RS;Pelotas
IFRS;Campus Porto Alegre;1946;RS;Porto Alegre
IFRS;Campus Porto Alegre Restinga;2012;RS;Porto Alegre
IFRS;Campus Rio Grande;1967;RS;Rio Grande
IFRS;Campus Rolante;2014;RS;Rolante
UFSM;Colégio Politécnico da Universidade Federal Santa Maria;1959;RS;Santa Maria
UFSM;Colégio Técnico Industrial da Universidade Federal de Santa Maria;1967;RS;Santa Maria
IF Farroupilha;Campus Santa Rosa;2010;RS;Santa Rosa
IFSul;Campus Sant'Ana do Livramento;2012;RS;Santana do Livramento
IF Farroupilha;Campus Santo Ângelo;2014;RS;Santo Ângelo
IF Farroupilha;Campus Santo Augusto;2008;RS;Santo Augusto
IF Farroupilha;Campus São Borja;2011;RS;São Borja
IF Farroupilha;Campus São Vicente do Sul;1954;RS;São Vicente do Sul
IFSul;Campus Sapiranga;2013;RS;Sapiranga
IFSul;Campus Sapucaia do Sul;1996;RS;Sapucaia do Sul
IFRS;Campus Sertão;1959;RS;Sertão
IF Farroupilha;Campus Avançado Uruguaiana;2014;RS;Uruguaiana
IFRS;Campus Vacaria;2014;RS;Vacaria
IFSul;Campus Venâncio Aires;2011;RS;Venâncio Aires
IFRS;Campus Avançado Veranópolis;2014;RS;Veranópolis
IFRS;Campus Viamão;2015;RS;Viamão
IFC;Campus Avançado Abelardo Luz;2014;SC;Abelardo Luz
IFC;Campus Araquari;1954;SC;Araquari
IFSC;Campus Araranguá;2008;SC;Araranguá
IFC;Campus Blumenau;2012;SC;Blumenau
IFC;Campus Brusque;2013;SC;Brusque
IFSC;Campus Caçador;2010;SC;Caçador
IFC;Campus Camboriú;1953;SC;Camboriú
IFSC;Campus Canoinhas;2010;SC;Canoinhas
IFSC;Campus Chapecó;2006;SC;Chapecó
IFC;Campus Concórdia;1967;SC;Concórdia
IFSC;Campus Criciúma;2010;SC;Criciúma
IFSC;Campus Florianópolis;1909;SC;Florianópolis
IFSC;Campus Florianópolis Continente;2006;SC;Florianópolis
IFSC;Polo de Inovação Florianópolis;2018;SC;Florianópolis
IFC;Campus Fraiburgo;2012;SC;Fraiburgo
IFSC;Campus Garopaba;2011;SC;Garopaba
IFSC;Campus Gaspar;2010;SC;Gaspar
IFC;Campus Ibirama;2010;SC;Ibirama
IFSC;Campus Itajaí;2011;SC;Itajaí
IFSC;Campus Jaraguá do Sul;1994;SC;Jaraguá do Sul
IFSC;Campus Jaraguá do Sul Rau;2010;SC;Jaraguá do Sul
IFSC;Campus Joinville;2006;SC;Joinville
IFSC;Campus Lages;2010;SC;Lages
IFC;Campus Luzerna;2010;SC;Luzerna
IFSC;Campus Palhoça;2011;SC;Palhoça
IFC;Campus Rio do Sul;1993;SC;Rio do Sul
IFC;Campus Santa Rosa do Sul;1994;SC;Santa Rosa do Sul
IFC;Campus São Bento do Sul;2016;SC;São Bento do Sul
IFSC;Campus São Carlos;2013;SC;São Carlos
IFC;Campus São Francisco do Sul;2012;SC;São Francisco do Sul
IFSC;Campus São José;1997;SC;São José
IFSC;Campus Avançado São Lourenço do Oeste;2014;SC;São Lourenço do Oeste
IFSC;Campus São Miguel do Oeste;2010;SC;São Miguel do Oeste
IFC;Campus Avançado Sombrio;2014;SC;Sombrio
IFSC;Campus Tubarão;2013;SC;Tubarão
IFSC;Campus Urupema;2010;SC;Urupema
IFC;Campus Videira;2010;SC;Videira
IFSC;Campus Xanxerê;2009;SC;Xanxerê
IFS;Campus Aracaju;1909;SE;Aracaju
IFS;Campus Estância;2011;SE;Estância
IFS;Campus Itabaiana;2011;SE;Itabaiana
IFS;Campus Lagarto;1994;SE;Lagarto
IFS;Campus Nossa Senhora da Glória;2011;SE;Nossa Senhora da Glória
IFS;Campus Nossa Senhora do Socorro;2016;SE;Nossa Senhora do Socorro
IFS;Campus Poço Redondo;2020;SE;Poço Redondo
IFS;Campus Propriá;2014;SE;Propriá
IFS;Campus São Cristóvão;1946;SE;São Cristóvão
IFS;Campus Tobias Barreto;2014;SE;Tobias Barreto
IFSP;Campus Araraquara;2010;SP;Araraquara
IFSP;Campus Avaré;2012;SP;Avaré
IFSP;Campus Barretos;2010;SP;Barretos
IFSP;Campus Birigui;2010;SP;Birigui
IFSP;Campus Boituva;2009;SP;Boituva
IFSP;Campus Bragança Paulista;2007;SP;Bragança Paulista
IFSP;Campus Campinas;2012;SP;Campinas
IFSP;Campus Campos do Jordão;2009;SP;Campos do Jordão
IFSP;Campus Capivari;2010;SP;Capivari
IFSP;Campus Caraguatatuba;2007;SP;Caraguatatuba
IFSP;Campus Catanduva;2010;SP;Catanduva
IFSP;Campus Cubatão;1987;SP;Cubatão
IFSP;Campus Guarulhos;2005;SP;Guarulhos
IFSP;Campus Hortolândia;2011;SP;Hortolândia
IFSP;Campus Avançado Ilha Solteira;2014;SP;Ilha Solteira
IFSP;Campus Itapetininga;2010;SP;Itapetininga
IFSP;Campus Itaquaquecetuba;2016;SP;Itaquaquecetuba
IFSP;Campus Jacareí;2014;SP;Jacareí
IFSP;Campus Avançado Jundiaí;2015;SP;Jundiaí
IFSP;Campus Matão;2011;SP;Matão
IFSP;Campus Piracicaba;2010;SP;Piracicaba
IFSP;Campus Presidente Epitácio;2010;SP;Presidente Epitácio
IFSP;Campus Registro;2012;SP;Registro
IFSP;Campus Salto;2007;SP;Salto
IFSP;Campus São Carlos;2011;SP;São Carlos
IFSP;Campus São João da Boa Vista;2007;SP;São João da Boa Vista
IFSP;Campus São José do Rio Preto;2017;SP;São José do Rio Preto
IFSP;Campus São José dos Campos;2012;SP;São José dos Campos
IFSP;Campus Avançado São Paulo - São Miguel;2018;SP;São Miguel
IFSP;Campus São Paulo;1909;SP;São Paulo
IFSP;Campus São Paulo Pirituba;2016;SP;São Paulo
IFSP;Campus São Roque;2008;SP;São Roque
IFSP;Campus Sertãozinho;1998;SP;Sertãozinho
IFSP;Campus Sorocaba;2015;SP;Sorocaba
IFSP;Campus Suzano;2010;SP;Suzano
IFSP;Campus Avançado Tupã;2015;SP;Tupã
IFSP;Campus Votuporanga;2010;SP;Votuporanga
IFTO;Campus Araguaína;2009;TO;Araguaína
IFTO;Campus Araguatins;1988;TO;Araguatins
IFTO;Campus Colinas do Tocantins;2014;TO;Colinas do Tocantins
IFTO;Campus Dianópolis;2012;TO;Dianópolis
IFTO;Campus Avançado Formoso do Araguaia;2014;TO;Formoso do Araguaia
IFTO;Campus Gurupi;2010;TO;Gurupi
IFTO;Campus Avançado Lagoa da Confusão;2014;TO;Lagoa da Confusão
IFTO;Campus Palmas;1993;TO;Palmas
IFTO;Campus Paraíso do Tocantins;2007;TO;Paraíso do Tocantins
IFTO;Campus Avançado Pedro Afonso;2014;TO;Pedro Afonso
IFTO;Campus Porto Nacional;2010;TO;Porto Nacional
